,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Weather.Condition,Report.Status,Publication.Date
67368,20091023X21225,Accident,ERA10FA028,2009-10-24,"Zephyrhills, FL",United States,281623N,0082614W,Fatal,Substantial,Airplane,N98ZZ,PIPER,PA 46-350P,No,1.0,Reciprocating,091,Citrus Aviation Inc,3.0,0.0,0.0,Visual Meteorological Conditions,A total loss of engine power during a night approach for undetermined reasons.,2020-09-25
67369,20091024X14410,Accident,WPR10CA030,2009-10-24,"Chandler, AZ",United States,033169N,1114840W,Non-Fatal,Substantial,Airplane,N83281,PIPER,PA18,No,1.0,Reciprocating,091,Chandler Air Service Inc.,0.0,0.0,0.0,Visual Meteorological Conditions,The student pilot's failure to maintain directional control while landing.,2020-09-25
67370,20091024X21852,Accident,WPR10CA031,2009-10-24,"El Cajon, CA",United States,324934N,1165821W,Non-Fatal,Substantial,Airplane,N24536,PIPER,J4,No,1.0,Reciprocating,091,John J. McGee,0.0,0.0,0.0,Visual Meteorological Conditions,The left-seat pilot's failure to maintain directional control during the landing roll.,2020-09-25
67371,20091027X41534,Incident,CEN10IA030,2009-10-24,"Lincoln, NE",United States,040513N,0964533W,Non-Fatal,Minor,Airplane,N4420K,CURTISS WRIGHT,P-40E,No,1.0,Reciprocating,091,MINNESOTA AIRWAYS LLC,0.0,0.0,0.0,Visual Meteorological Conditions,The right landing gear's partial retraction during landing due to paint contamination of the landing gear handle detent.,2020-09-25
67372,20091030X40336,Accident,ERA10CA039,2009-10-24,"Scranton, SC",United States,335414N,0079412W,Non-Fatal,Substantial,Helicopter,N822U,ROBINSON HELICOPTER,R22 BETA,No,1.0,Reciprocating,091,V T WHITLOCK INC,0.0,0.0,0.0,Visual Meteorological Conditions,The pilots failure to maintain control of the helicopter.,2020-09-25
67373,20091101X34124,Accident,WPR10CA037,2009-10-24,"Edwards, CA",United States,345459N,1175145W,Non-Fatal,Substantial,Airplane,N3052N,SOCATA,TB200,No,1.0,Reciprocating,091,EDWARDS AIR FORCE BASE AERO CLUB,0.0,0.0,0.0,Visual Meteorological Conditions,The pilot's improper flare resulting in a hard landing. Contributing to the accident was the sunglare.,2020-09-25
67374,20091215X14941,Accident,WPR10CA084,2009-10-24,"Jensen, UT",United States,402220N,0109204W,Non-Fatal,Substantial,Airplane,N440KC,Golden Circle,Tierra I,No,1.0,Reciprocating,091,Kerry S. Crofts,0.0,0.0,0.0,Visual Meteorological Conditions,"A loss of engine power, as reported by the pilot, for undetermined reasons.",2020-09-25
67375,20091026X22930,Accident,WPR10LA032,2009-10-25,"Leadore, ID",United States,444134N,1132943W,Non-Fatal,Substantial,Powered Parachute,N4036U,Powrachute,PC 2000,No,1.0,Reciprocating,091,Dale Peterson,0.0,0.0,1.0,Visual Meteorological Conditions,"The stuck throttle cable and the pilot's failure to maintain adequate airspeed during landing, which resulted in an inadvertent aerodynamic stall and hard landing.",2020-09-25
67376,20091026X23547,Accident,ERA10FA029,2009-10-25,"Bennington, VT",United States,425335N,0731550W,Fatal,Substantial,Airplane,N55479,CESSNA,172P,No,1.0,Reciprocating,091,SKY TRAINING LLC,1.0,0.0,0.0,Visual Meteorological Conditions,The pilots failure to maintain clearance from terrain during a night approach. Contributing to the accident was the pilots non-standard traffic pattern over higher terrain.,2020-09-25
67378,20091027X10906,Accident,ERA10CA033,2009-10-25,"Athens, KY",United States,375632N,0842132W,Non-Fatal,Substantial,Airplane,N78E,Elkins,Christen Eagle II,Yes,1.0,Reciprocating,091,Edward Larkin,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's improper liftoff, resulting in a collision with the ground during climbout.",2020-09-25
67379,20091027X72832,Accident,ERA10LA032,2009-10-25,"Eupora, MS",United States,333752N,0089282W,Non-Fatal,Destroyed,Helicopter,N57PH,BELL,206,No,1.0,Turbo Shaft,137,"Provine Helicopter Service, Inc.",0.0,0.0,1.0,Visual Meteorological Conditions,A loss of engine power due to fuel contamination of the helicopters fuel supply.,2020-09-25
67380,20091026X72148,Accident,CEN10FA028,2009-10-26,"Benavides, TX",United States,027468N,0097302W,Fatal,Destroyed,Airplane,N729MS,BEECH,B100,No,2.0,Turbo Prop,091,"Mazak Properties, Inc.",4.0,0.0,0.0,Instrument Meteorological Conditions,"The pilot's failure to avoid severe weather, and the air traffic controller's failure to provide adverse weather avoidance assistance, as required by Federal Aviation Administration directives, both of which led to the airplane's encounter with a severe thunderstorm and the subsequent loss of control and inflight breakup of the airplane.",2020-09-25
67386,20091028X13928,Accident,CEN10LA031,2009-10-27,"Gaylord, MI",United States,045826N,0084402W,Fatal,Destroyed,Airplane,N2239E,AERONCA,7AC,No,1.0,Reciprocating,091,SCREAMIN AVIATION LLC,2.0,0.0,0.0,Visual Meteorological Conditions,The pilot's failure to maintain adequate airspeed during a low altitude turn resulting in an aerodynamic stall/spin and loss of control.,2020-09-25
67387,20091028X14509,Accident,CEN10LA032,2009-10-27,"Walsh, CO",United States,372052N,1021528W,Non-Fatal,Substantial,Airplane,N7464E,CESSNA,210,No,1.0,Reciprocating,091,William L. Gold,0.0,1.0,0.0,Visual Meteorological Conditions,A partial loss of engine power due to failure of the No. 2 cylinder as a result of the failure of the repair facility to properly torque the lower four nuts on the cylinder.,2020-09-25
67390,20091029X54134,Accident,ERA10FA037,2009-10-29,"Christiansted,",United States,017438N,0644729W,Fatal,Destroyed,Airplane,N3431T,CESSNA,177,No,1.0,Reciprocating,091,David S. Bentley,3.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's failure to maintain airspeed, which resulted in an inadvertent stall/spin. Contributing to the accident was the pilot's failure to ensure proper loading of the airplane.",2020-09-25
67391,20091101X34519,Accident,WPR10CA038,2009-10-29,"Palm Springs, CA",United States,035242N,1184534W,Non-Fatal,Substantial,Airplane,N400EB,MOONEY,M20F,No,1.0,Reciprocating,091,Robert Hutchinson,0.0,0.0,0.0,Visual Meteorological Conditions,The pilot's inadequate compensation for gusty crosswind conditions and his failure to maintain directional control.,2020-09-25
67393,20100407X12526,Accident,WPR10CA193,2009-10-29,"San Juan Batista, CA",United States,363731N,1214020W,Non-Fatal,Substantial,Helicopter,N144RF,ROBINSON,R44,No,1.0,Reciprocating,091,Rio Farms,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's failure to maintain adequate clearance from wires while maneuvering and his subsequent improper use of the collective control, which resulted in the main rotor contacting the tail boom.",2020-09-25
67396,20091030X90801,Accident,WPR10CA035,2009-10-30,"Angwin, CA",United States,383448N,0122267W,Non-Fatal,Substantial,Airplane,N1721T,PIPER,PA-28-140,No,1.0,Reciprocating,091,Lee Mize,0.0,0.0,0.0,Visual Meteorological Conditions,The pilot's failure to properly identify the runway surface for takeoff and his subsequent failure to abort the takeoff when he realized he was not on the runway. Contributing to the accident was the pilots failure to select the appropriate radio frequency to activate the runway lights.,2020-09-25
67397,20091101X35012,Accident,WPR10LA039,2009-10-30,"Glendale, AZ",United States,333137N,1121743W,Non-Fatal,Substantial,Airplane,N811RJ,SAUER,KR-2S,Yes,1.0,Reciprocating,091,SAUER ROBERT E TRUSTEE,0.0,1.0,0.0,Visual Meteorological Conditions,"A loss of engine power due to fuel starvation as a result of a reduced fuel flow to the engine resulting from a misrouted fuel tank vent line,  during initial climb.",2020-09-25
67400,20091207X20321,Accident,ANC10CA009,2009-10-30,"Kotzebue, AK",United States,006710N,0162941W,Non-Fatal,Substantial,Airplane,N8944T,CESSNA,182C,No,1.0,Reciprocating,091,John K Baker,0.0,0.0,0.0,Visual Meteorological Conditions,The pilot's failure to maintain directional control and his selection of unsuitable terrain for takeoff.,2020-09-25
67401,20091031X95957,Accident,CEN10LA034,2009-10-31,"Sikeston, MO",United States,036586N,0892951W,Fatal,Substantial,Airplane,N1198C,PIPER,PA-18-135,No,1.0,Reciprocating,091,Paul G. Fisher,2.0,0.0,0.0,Visual Meteorological Conditions,The pilot's failure to maintain directional control during a crosswind takeoff.,2020-09-25
67402,20091101X35753,Accident,WPR10CA041,2009-10-31,"Bountiful, UT",United States,040529N,1115538W,Non-Fatal,Substantial,Airplane,N1712C,CESSNA,180,No,1.0,Reciprocating,091,GRANT DOUGLAS E JR,0.0,0.0,0.0,Visual Meteorological Conditions,The failure of the inner tube of the right main tire during the landing roll.,2020-09-25
67403,20091102X00102,Accident,WPR10CA042,2009-10-31,"Marsing, ID",United States,043330N,0116480W,Non-Fatal,Substantial,Helicopter,N74607,ROBINSON HELICOPTER,R22 BETA,No,1.0,Reciprocating,091,SILVERHAWK AVIATION ACADEMY LLC,0.0,0.0,0.0,Visual Meteorological Conditions,The pilot's failure to maintain adequate main rotor rpm during the approach and subsequent go-around and the certified flight instructor's inadequate supervision of the flight.,2020-09-25
67404,20091102X00505,Accident,WPR10CA043,2009-11-01,"Mineral Canyon, UT",United States,038320N,0109590W,Non-Fatal,Substantial,Airplane,N2729N,CESSNA,120,No,1.0,Reciprocating,091,AVIATION FACILITIES INC,0.0,1.0,0.0,Visual Meteorological Conditions,"The pilot's incorrect use of brakes, which resulted in the airplane nosing over.",2020-09-25
67406,20091102X43921,Accident,CEN10LA036,2009-11-01,"High Island A-442A,",United States,028240N,0935630W,Non-Fatal,Substantial,Helicopter,N272M,BELL,206,No,1.0,Turbo Shaft,135,ROTORCRAFT LEASING COMPANY LLC,0.0,1.0,1.0,Visual Meteorological Conditions,A total loss of engine power due to maintenance personnel's failure to correctly torque the Pc line following removal and reinstallation of the turbine module.,2020-09-25
67407,20091103X93822,Accident,ERA10CA045,2009-11-01,"Gainesville, FL",United States,294124N,0821618W,Non-Fatal,Substantial,Airplane,N6715V,BEECH,77,No,1.0,Reciprocating,091,Scott Plunske,0.0,0.0,0.0,Visual Meteorological Conditions,The pilot's failure to maintain aircraft control during landing.,2020-09-25
67408,20091104X43241,Accident,CEN10CA038,2009-11-01,"Three Lakes, WI",United States,454724N,0089715W,Non-Fatal,Substantial,Airplane,N4070Z,PIPER,PA-18-150,No,1.0,Reciprocating,091,Richard Kluver,0.0,0.0,0.0,Visual Meteorological Conditions,The pilot's improper flare and touchdown during the water landing.,2020-09-25
67409,20091109X84233,Accident,WPR10CA049,2009-11-01,"Grangeville, ID",United States,042301N,0105113W,Non-Fatal,Substantial,Airplane,N82213,PIPER,PA-18-150,No,1.0,Reciprocating,091,James J. Babb,0.0,0.0,0.0,Visual Meteorological Conditions,The pilot's delayed decision to execute a go-around in gusting winds and with up-sloping terrain.,2020-09-25
67410,20091112X55746,Accident,CEN10LA047,2009-11-01,"Loveland, CO",United States,040277N,0105041W,Non-Fatal,Substantial,Airplane,N652CP,CESSNA,T182T,No,1.0,Reciprocating,091,Civil Air Patrol,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's failure to attain the proper touchdown point during dusk light conditions, and his failure to execute a go-around.",2020-09-25
67411,20091102X82140,Accident,WPR10LA044,2009-11-02,"Phoenix, AZ",United States,033263N,0112041W,Non-Fatal,Substantial,Airplane,N909DA,MCDONNELL DOUGLAS,MD-90-30,No,2.0,Turbo Jet,121,DELTA AIR LINES INC,0.0,0.0,0.0,Visual Meteorological Conditions,An in-flight collision with birds.,2020-09-25
67412,20091103X85152,Accident,CEN10LA037,2009-11-02,"Coldwater, MI",United States,041560N,0008538W,Non-Fatal,Substantial,Airplane,N8364W,PIPER,PA-28-180,No,1.0,Reciprocating,091,Nicholas George Pathenos,0.0,1.0,0.0,Visual Meteorological Conditions,A loss of engine power due to the separation of the No. 4 piston connecting rod as a result of inadequate torque of the connecting rod bolt.,2020-09-25
67415,20091110X62634,Accident,ANC10LA007,2009-11-03,"Palmer, AK",United States,061110N,0148400W,Non-Fatal,Substantial,Airplane,N1042A,PIPER,PA-18-160,No,1.0,Reciprocating,091,Casey Long,0.0,0.0,0.0,Visual Meteorological Conditions,The pilot's selection of unsuitable terrain for takeoff.,2020-09-25
67417,20091104X23538,Incident,WPR10IA045,2009-11-04,"Show Low, AZ",United States,341521N,0110012W,Non-Fatal,Minor,Airplane,N330AV,BEECH,C-99,No,2.0,Turbo Prop,135,"Ameriflight, LLC",0.0,1.0,0.0,Visual Meteorological Conditions,An in-flight collision with a bird during initial descent.,2020-09-25
67419,20091105X70216,Accident,ERA10CA049,2009-11-04,"Germantown, NY",United States,042285N,0755320W,Non-Fatal,Substantial,Airplane,N93659,ERCOUPE,415,No,1.0,Reciprocating,091,Jay D. Morriset,0.0,1.0,0.0,Visual Meteorological Conditions,The pilot's decision to continue operation of the airplane with a known mechanical deficiency.,2020-09-25
67421,20091105X01701,Accident,WPR10LA046,2009-11-05,"Globe, AZ",United States,033218N,1104014W,Non-Fatal,Substantial,Helicopter,N617LH,EUROCOPTER,AS350BA,No,1.0,Turbo Shaft,091,Omni Flight Helicopters Inc,0.0,0.0,2.0,Visual Meteorological Conditions,"The pilot receiving instructions failure to maintain adequate airspeed or control of the helicopter during a simulated hydraulic failure maneuver, which resulted in a hard landing. Contributing to the accident was the flight instructors delayed remedial actions and the lack of a positive exchange of control.",2020-09-25
67422,20091105X61707,Accident,ERA10FA048,2009-11-05,"Tallahassee, FL",United States,302347N,0084211W,Fatal,Destroyed,Airplane,N5194X,CESSNA,172S,No,1.0,Reciprocating,091,EAGLE AIR CORP,2.0,0.0,0.0,Visual Meteorological Conditions,"The pilots' spatial disorientation during flight in dark conditions, which resulted in an uncontrolled descent into terrain.",2020-09-25
67423,20091105X70627,Accident,ERA10LA050,2009-11-05,"Ft Pierce, FL",United States,272942N,0080225W,Non-Fatal,Substantial,Airplane,N120FB,GRUMMAN AIRCRAFT ENG CORP,G-111,No,2.0,Reciprocating,091,ALBATROSS ADVENTURES INC TRUSTEE,0.0,1.0,0.0,Visual Meteorological Conditions,A total loss of left engine power and subsequent failure of the airplane to maintain airspeed and altitude on the remaining engine for undetermined reasons.,2020-09-25
67424,20091106X42849,Accident,ERA10CA051,2009-11-05,"Morovis, PR",United States,018172N,0066245W,Non-Fatal,Substantial,Helicopter,N440M,ROBINSON HELICOPTER,R44,No,1.0,Reciprocating,091,Universal Aviation Vertical Group,0.0,1.0,0.0,Visual Meteorological Conditions,The pilots delayed attempt to go around.,2020-09-25
67425,20091107X34009,Accident,CEN10FA042,2009-11-06,"Agnos, AR",United States,361519N,0914135W,Fatal,Destroyed,Airplane,N538CJ,ZENITH AIRCRAFT CO,ZODIAC 601 XL,No,1.0,Reciprocating,091,CUMMINGS CHARLES,1.0,0.0,0.0,Visual Meteorological Conditions,The in-flight separation of both wings due to aileron flutter. The aileron flutter was the result of inadequate wing stiffness and strength and the lack of aileron counterbalances.,2020-09-25
67427,20091110X33802,Accident,ANC10LA006,2009-11-06,"Kenai, AK",United States,060470N,0015280W,Non-Fatal,Substantial,Airplane,N5268X,CHAMPION,7GCBC,No,1.0,Reciprocating,091,DILLEY JOSEPH CAMPBELL,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's decision to fly at a low altitude in strong winds and turbulence, resulting in a loss of control and a collision with terrain.",2020-09-25
67428,20091112X71417,Accident,WPR10CA054,2009-11-06,"Santa Barbara, CA",United States,342534N,1195029W,Non-Fatal,Substantial,Airplane,N702TM,CIRRUS,SR20,No,1.0,Reciprocating,091,N702TM LLC,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's improper flare, which resulted in a hard landing and porpoise pilot induced oscillation.",2020-09-25
67430,20100323X43509,Incident,CEN10IA173,2009-11-06,"Xenia, OH",United States,394127N,0835931W,Non-Fatal,Minor,Airplane,N93415,Univar,415-C/D,No,1.0,Reciprocating,091,Pilot,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's failure to maintain the proper glide slope during final approach, which resulted in an in-flight collision with a tree.",2020-09-25
67433,20091109X61438,Accident,ERA10CA057,2009-11-07,"Summit, DE",United States,393115N,0754325W,Non-Fatal,Substantial,Airplane,N134B,CESSNA,172S,No,1.0,Reciprocating,091,Deleware Aviation Center,0.0,0.0,0.0,Visual Meteorological Conditions,The student pilots failure to maintain directional control during takeoff.,2020-09-25
67437,20091108X12856,Accident,ERA10FA052,2009-11-08,"Weston, FL",United States,002697N,0804312W,Fatal,Substantial,Airplane,N4139X,AERO COMMANDER,100,No,1.0,Reciprocating,091,VELAZQUEZ EDMUNDO,1.0,0.0,0.0,Visual Meteorological Conditions,"The flight's descent for undetermined reasons, resulting in the in-flight collision with terrain.",2020-09-25
67439,20091108X92817,Accident,CEN10LA043,2009-11-08,"Altus, OK",United States,355625N,0913227W,Fatal,Destroyed,Airplane,N6644,MOORE,SKYBOLT/BM,Yes,1.0,Reciprocating,091,CLARK A. MURRAY,2.0,0.0,0.0,Visual Meteorological Conditions,The pilot's poor judgment by performing intentional low-level maneuvers that resulted in an inadvertent stall/spin at an altitude to low to affect a safe recovery.,2020-09-25
67444,20091113X93434,Accident,CEN10CA048,2009-11-08,"Galion, OH",United States,404511N,0824315W,Non-Fatal,Substantial,Airplane,N66006,CESSNA,150L,No,1.0,Reciprocating,091,Galion Air Inc.,0.0,0.0,0.0,Visual Meteorological Conditions,The student pilot's failure to maintain directional control.,2020-09-25
67445,20091109X60452,Accident,ERA10LA056,2009-11-09,"Greer, SC",United States,345246N,0821349W,Non-Fatal,Substantial,Airplane,N337MT,HAWKER BEECHCRAFT CORPORATION,B200,No,2.0,Turbo Prop,091,MDTR HOLDINGS LLC,0.0,0.0,3.0,Visual Meteorological Conditions,A loss of engine power due to fuel exhaustion as a result of the pilots failure to visually verify that sufficient fuel was onboard prior to flight.,2020-09-25
67449,20091110X24439,Accident,WPR10LA053,2009-11-11,"Chico, CA",United States,394725N,1215131W,Non-Fatal,Substantial,Airplane,N9617Y,BEECH,35-B33,No,1.0,Reciprocating,091,William P and Maureen Griggs,0.0,2.0,0.0,Visual Meteorological Conditions,A loss of engine power during final approach for undetermined reasons.,2020-09-25
67451,20091112X43533,Accident,ERA10CA061,2009-11-12,"Clarksville, TN",United States,363719N,0872453W,Non-Fatal,Substantial,Airplane,N315AC,AMERICAN CHAMPION AIRCRAFT,8GCBC,No,1.0,Reciprocating,091,TMS AVIATION LLC,0.0,0.0,0.0,Visual Meteorological Conditions,The pilots failure to maintain directional control during the takeoff roll. Contributing to the accident was his decision to take off with a left quartering tailwind.,2020-09-25
67453,20091130X33321,Incident,CEN10IA059,2009-11-13,"Elk Mound, WI",United States,445214N,0914047W,Non-Fatal,Minor,Airplane,N667PC,PIPER,PA-46-310P,No,1.0,Reciprocating,091,Pilot,0.0,0.0,0.0,Visual Meteorological Conditions,The loss of engine power due to component failure from excessive heating of the engine connecting rod journals.,2020-09-25
67455,20091114X40724,Accident,ERA10LA063,2009-11-14,"Fort Myers, FL",United States,263511N,0815147W,Non-Fatal,Substantial,Airplane,N3823,CURTISS WRIGHT,TRAVEL AIR,No,1.0,Reciprocating,091,Lucky Lindy's Flying Service,0.0,3.0,0.0,Visual Meteorological Conditions,"The pilot's improper recovery from a bounced landing and failure to maintain directional control, which resulted in a ground loop. Contributing to the accident was the pilot's minimal experience in the airplane make and model.",2020-09-25
67456,20091114X53144,Accident,ERA10CA064,2009-11-14,"Pahokee, FL",United States,264728N,0804122W,Non-Fatal,Substantial,Helicopter,N74632,ROBINSON HELICOPTER,R22 BETA,No,1.0,Reciprocating,091,Palm Beach Helicopters,0.0,1.0,0.0,Visual Meteorological Conditions,The pilots failure to maintain control of the helicopter.,2020-09-25
67457,20091114X82100,Accident,WPR10FA055,2009-11-14,"Doyle, CA",United States,039515N,0120210W,Fatal,Substantial,Helicopter,N5793P,AEROSPATIALE,AS350BA,No,1.0,Turbo Shaft,091,Mountain Lifeflight,3.0,0.0,0.0,Visual Meteorological Conditions,"The pilot became spatially disoriented while maneuvering on a dark night, which resulted in a loss of helicopter control.",2020-09-25
67459,20091116X35815,Accident,ERA10CA065,2009-11-14,"Georgetown, KY",United States,038142N,0084261W,Non-Fatal,Substantial,Helicopter,N2374,ROBINSON HELICOPTER,R22 BETA,No,1.0,Reciprocating,091,FLEMING PROPERTIES LLC,0.0,2.0,0.0,Visual Meteorological Conditions,"The pilot's failure to maintain adequate clearance from the surface during lateral hover, which resulted in dynamic rollover.",2020-09-25
67460,20091117X14741,Accident,ANC10CA008,2009-11-14,"Anchorage, AK",United States,060312N,0150442W,Non-Fatal,Substantial,Airplane,N3797Z,PIPER,PA-18-150,No,1.0,Reciprocating,091,John C. Buller,0.0,0.0,0.0,Visual Meteorological Conditions,The pilot's decision to land and attempt to takeoff from an unsuitable off-airport site.,2020-09-25
67462,20091125X95516,Accident,ERA10CA079,2009-11-14,"West Palm Beach, FL",United States,263521N,0008054W,Non-Fatal,Substantial,Airplane,N884,AIR GULFSTREAM AIRLINES INC,SX-300,Yes,1.0,Reciprocating,091,AIR GULFSTREAM AIRLINES INC,0.0,0.0,0.0,Visual Meteorological Conditions,The loss of directional control while landing for undetermined reasons.,2020-09-25
67465,20091117X01842,Accident,WPR10FA056,2009-11-15,"San Gabriel, CA",United States,003460N,0011851W,Fatal,Substantial,Airplane,N17803,BEECH,A36,No,1.0,Reciprocating,091,David E. Flotho,1.0,0.0,0.0,Visual Meteorological Conditions,"Failure of the exhaust band V-clamp during cruise flight, which resulted in an in-flight fire and a subsequent forced landing.",2020-09-25
67466,20091117X55556,Incident,CEN10IA053,2009-11-15,"Kansas City, MO",United States,391752N,0944250W,Non-Fatal,Minor,Airplane,N924FR,AIRBUS,A319-111,No,2.0,Turbo Fan,121,Frontier Airlines,0.0,0.0,0.0,Visual Meteorological Conditions,The in-flight engine ingestion of one or more Lesser Snow Geese (Chen caerulescens caerulescens).,2020-09-25
67467,20091117X60147,Accident,ERA10LA066,2009-11-15,"Newcomb, NY",United States,044434N,0074752W,Fatal,Substantial,Airplane,N1723T,PIPER,PA-28-140,No,1.0,Reciprocating,091,Malone Aviation,2.0,0.0,0.0,Instrument Meteorological Conditions,"The pilots failure to maintain clearance from mountainous terrain during descent at night, with low clouds and fog.",2020-09-25
67471,20091117X33933,Accident,CEN10LA052,2009-11-17,"Saginaw, TX",United States,325612N,0097270W,Non-Fatal,Substantial,Airplane,N8297P,PIPER,PA-34-200T,No,2.0,Reciprocating,091,"Glen R. Smith, Jr.",0.0,0.0,0.0,Visual Meteorological Conditions,The pilot's inability to maintain control of the airplane due to a pinched trim system wire that resulted in a runaway nose-down pitch trim.,2020-09-25
67474,20091118X40402,Accident,WPR10CA057,2009-11-18,"Lyons, OR",United States,444911N,1222215W,Non-Fatal,Substantial,Helicopter,N16869,BELL,206B,No,1.0,Turbo Shaft,133,Leading Edge Aviation Inc.,0.0,0.0,0.0,Visual Meteorological Conditions,"The pilot's inadvertent encounter with a vortex ring state (settling with power) condition while he was descending, and his improper initial remedial action.",2020-09-25
67475,20091120X10854,Accident,CEN10LA056,2009-11-18,"Montrose, CO",United States,383035N,1075339W,Non-Fatal,Substantial,Airplane,N2493T,NAVION,NAVION G,No,1.0,Reciprocating,091,BORGO DOUGLAS A,0.0,1.0,0.0,Visual Meteorological Conditions,A loss of engine power due to the pilots inadequate preflight planning.,2020-09-25
67476,20091117X31541,Accident,CEN10LA054,2009-11-19,"Mineola, TX",United States,323938N,0952846W,Non-Fatal,Substantial,Airplane,N3148Q,PIPER,PA-28-181,No,1.0,Reciprocating,091,L AND P OF WINONA INC,0.0,0.0,1.0,Visual Meteorological Conditions,A loss of engine power due to fuel exhaustion and the pilot's inadequate preflight planning.,2020-09-25
67479,20091121X05047,Accident,ERA10LA070,2009-11-20,"Port Charlotte, FL",United States,026556N,0815916W,Non-Fatal,Substantial,Airplane,N41765,PIPER,PA28-151,No,1.0,Reciprocating,091,UNIVERSEL TECHNOLOGIES/UNITEC INC,0.0,0.0,0.0,Visual Meteorological Conditions,A partial loss of engine power due to the separation of the spark plug hole helicoil from the bottom position of the No. 3 cylinder for undetermined reasons.,2020-09-25
67480,20091121X54345,Accident,WPR10LA059,2009-11-20,"Susanville, CA",United States,402316N,1203258W,Fatal,Substantial,Airplane,N2650R,CESSNA,182K,No,1.0,Reciprocating,091,GARTNER HAROLD H III,1.0,0.0,0.0,Instrument Meteorological Conditions,"The pilot's decision to takeoff into weather conditions conducive to ice accumulation, which resulted in an inadvertent stall/spin while maneuvering in the initial climb. Contributing to the accident was the likely accumulation of snow and ice on the airborne airplane.",2020-09-25
67481,20091121X54759,Accident,WPR10LA060,2009-11-20,"Kahuku, HI",United States,214217N,0158020W,Non-Fatal,Substantial,Helicopter,N551CR,MCDONNELL DOUGLAS HELI CO,369E,No,1.0,Turbo Shaft,135,K & S HELICOPTERS INC,0.0,0.0,0.0,Visual Meteorological Conditions,The fatigue failure of the landing gear strut and maintenance personnels failure to perform an adequate inspection of the landing gear.,2020-09-25
67482,20091123X94327,Accident,ERA10CA075,2009-11-20,"Lebanon, PA",United States,401718N,0761926W,Non-Fatal,Substantial,Helicopter,N321ET,SCHWEIZER,269C-1,No,1.0,Reciprocating,091,EAGLE II AERONAUTICS INC,0.0,0.0,0.0,Visual Meteorological Conditions,The pilots failure to arrest the helicopter descent during the simulated engine out maneuver resulting in a hard landing.,2020-09-25
67483,20091130X51438,Accident,ERA10CA087,2009-11-20,"Ashland, VA",United States,374232N,0772612W,Non-Fatal,Substantial,Airplane,N319UA,COSTRUZIONI AERONAUTICHE TECNA,P2004 BRAVO,No,1.0,Reciprocating,091,"Heart of Virginia Aviation, Inc.",0.0,1.0,0.0,Visual Meteorological Conditions,The pilots failure to maintain adequate clearance from trees during the landing approach.,2020-09-25
67484,20091121X55122,Accident,WPR10CA061,2009-11-21,"Deer Valley, AZ",United States,334117N,0112457W,Non-Fatal,Substantial,Airplane,N56099,BOEING,A75N1,No,1.0,Reciprocating,091,POLLACK JACK,0.0,1.0,0.0,Visual Meteorological Conditions,The pilot's failure to maintain directional control.,2020-09-25
67486,20091122X31346,Accident,ERA10CA071,2009-11-21,"Everglades City, FL",United States,255033N,0812315W,Non-Fatal,Substantial,Airplane,N609SR,CIRRUS,SR-22,No,1.0,Reciprocating,091,RexAir Sales & Leasing LL,0.0,0.0,0.0,Visual Meteorological Conditions,The pilot's failure to maintain directional control during the attempted go-around.,2020-09-25
67487,20091122X63510,Accident,WPR10LA063,2009-11-21,"Watsonville, CA",United States,365633N,0121471W,Fatal,Substantial,Airplane,N7JX,BUDD,Lancair Legacy,Yes,1.0,Reciprocating,091,LAMPERT GARY M,1.0,0.0,0.0,Visual Meteorological Conditions,"A loss of engine power due to oil starvation and the pilot's failure to maintain airspeed while approaching the landing area resulting in an aerodynamic stall, rapid descent, and collision with terrain.",2020-09-25
67488,20091122X80023,Accident,ERA10LA073,2009-11-21,"Hammonton, NJ",United States,039401N,0744516W,Non-Fatal,Substantial,Airplane,N909CW,PIPER,PA-28R-200,No,1.0,Reciprocating,091,GKW CORP,0.0,0.0,0.0,Visual Meteorological Conditions,A total loss of engine power due to a blocked fuel vent.,2020-09-25
67489,20091122X82839,Accident,ERA10FA074,2009-11-22,"Wappinger, NY",United States,413514N,0735314W,Fatal,Substantial,Airplane,N345AT,PIPER,PA-28R-200,No,1.0,Reciprocating,091,AYALON FLIGHT SERVICES INC,2.0,0.0,0.0,Visual Meteorological Conditions,A total loss of engine power due to a delamination of the No. 3 connecting rod bearing. Contributing to the accident was the inadequate maintenance inspection of the engine oil system.,2020-09-25
67490,20091125X92231,Accident,ERA10CA078,2009-11-22,"Panancea, FL",United States,295913N,0842326W,Non-Fatal,Substantial,Airplane,N35638,CESSNA,172,No,1.0,Reciprocating,091,Michael A. Morgan,0.0,0.0,0.0,Visual Meteorological Conditions,The pilot's failure to maintain directional control during the landing rollout.,2020-09-25
